NORTE,ESTE,PISO
7167025.903,360124.41,845.934
7167027.708,360125.307,845.922
7167029.515,360126.183,845.849
7167031.292,360127.078,845.872
7167033.099,360127.941,845.904
7167034.887,360128.831,845.909
7167036.669,360129.714,845.932
7167038.484,360130.593,845.909
7167040.263,360131.483,845.857
7167042.064,360132.388,845.818
7167043.861,360133.24,845.893
7167045.655,360134.131,845.612
7167047.428,360135.056,845.639
7167049.22,360135.927,845.512
7167051.018,360136.814,845.231
7167052.803,360137.704,844.945
7167054.598,360138.576,844.949
7167056.413,360139.46,845.001
7167058.201,360140.338,844.995
7167059.991,360141.219,844.955
7167061.779,360142.094,845.002
7167063.595,360142.97,845.049
7167065.387,360143.846,845.038
7167067.19,360144.727,845.011
7167068.976,360145.604,845.059
7167070.799,360146.482,845.037
7167072.564,360147.375,844.913
7167074.371,360148.258,844.864
7167076.153,360149.141,844.828
7167077.954,360150.024,844.833
7167079.76,360150.913,844.789
7167081.546,360151.769,844.788
7167083.344,360152.681,844.808
7167085.087,360153.668,844.871
7167086.739,360154.762,844.921
7167088.403,360155.838,845.201
7167090.101,360156.945,845.134
7167091.679,360158.169,845.016
7167093.256,360159.401,844.831
7167094.835,360160.655,844.72
7167096.413,360161.863,844.652
7167097.961,360163.074,844.802
7167099.635,360164.231,844.787
7167101.284,360165.354,844.792
7167102.951,360166.485,844.774
7167104.588,360167.614,844.744
7167106.397,360168.457,844.738
7167108.321,360169.02,844.838
7167110.271,360169.464,844.914
7167112.251,360169.815,845.08
7167114.199,360170.153,845.185
7167116.171,360170.522,845.293
7167118.162,360170.871,845.488
