HOLEID,EAST,NORTH,ELEVATION,LENGHT
200,417661.266,7042490.523,2019.375,4.875
201,417661.26,7042487.97,2019.323,4.823
202,417661.345,7042485.376,2019.585,5.085
203,417661.326,7042482.708,2019.513,5.013
204,417659.031,7042481.673,2019.439,4.939
205,417658.871,7042484.101,2019.523,5.023
206,417658.897,7042486.579,2019.618,5.118
207,417658.95,7042489.177,2019.458,4.958
208,417659.171,7042491.867,2019.325,4.825
209,417659.012,7042494.598,2019.365,4.865
210,417656.895,7042498.268,2019.333,4.833
211,417656.982,7042495.899,2019.291,4.791
212,417656.946,7042493.255,2019.309,4.809
213,417656.75,7042490.762,2019.386,4.886
214,417656.835,7042487.953,2019.683,5.183
215,417656.643,7042485.414,2019.539,5.039
216,417656.767,7042482.695,2019.424,4.924
217,417656.816,7042480.095,2019.448,4.948
218,417654.778,7042478.896,2019.522,5.022
219,417654.674,7042481.386,2019.518,5.018
220,417654.58,7042483.919,2019.504,5.004
221,417654.637,7042486.543,2019.529,5.029
222,417654.518,7042489.196,2019.517,5.017
223,417654.589,7042492.017,2019.415,4.915
224,417654.639,7042494.504,2019.293,4.793
225,417654.6,7042496.928,2019.297,4.797
226,417654.65,7042499.616,2019.297,4.797
227,417652.422,7042501.038,2019.343,4.843
228,417652.351,7042498.321,2019.295,4.795
229,417652.335,7042495.733,2019.397,4.897
230,417652.333,7042493.094,2019.402,4.902
231,417652.408,7042490.553,2019.435,4.935
232,417652.516,7042487.85,2019.486,4.986
233,417652.401,7042485.176,2019.488,4.988
234,417652.463,7042482.631,2019.423,4.923
235,417652.646,7042480.084,2019.571,5.071
236,417652.463,7042477.366,2019.538,5.038
237,417650.138,7042476.21,2019.599,5.099
238,417650.148,7042478.85,2019.645,5.145
239,417650.103,7042481.347,2019.525,5.025
240,417650.265,7042483.916,2019.477,4.977
241,417650.169,7042486.468,2019.466,4.966
242,417650.248,7042489.008,2019.458,4.958
243,417650.132,7042491.819,2019.468,4.968
244,417650.15,7042494.419,2019.435,4.935
245,417650.073,7042497.075,2019.421,4.921
246,417650.071,7042499.619,2019.394,4.894
247,417650.222,7042502.293,2019.356,4.856
248,417648.097,7042503.47,2019.361,4.861
249,417647.981,7042500.878,2019.434,4.934
250,417648.011,7042498.304,2019.454,4.954
251,417647.865,7042495.736,2019.532,5.032
252,417648.054,7042493.101,2019.506,5.006
253,417648.118,7042490.471,2019.532,5.032
254,417648.257,7042487.845,2019.495,4.995
255,417647.971,7042485.21,2019.537,5.037
256,417648.018,7042482.553,2019.579,5.079
257,417648.135,7042480,2019.655,5.155
258,417648.108,7042477.562,2019.594,5.094
259,417648.072,7042474.755,2019.783,5.283
260,417645.941,7042473.503,2019.952,5.452
261,417645.831,7042476.202,2019.82,5.32
262,417645.961,7042478.882,2019.634,5.134
263,417645.786,7042481.356,2019.541,5.041
264,417645.777,7042484.145,2019.537,5.037
265,417645.641,7042486.634,2019.639,5.139
266,417645.784,7042489.17,2019.577,5.077
267,417645.835,7042491.706,2019.617,5.117
268,417645.855,7042494.376,2019.623,5.123
269,417645.757,7042496.884,2019.584,5.084
270,417645.868,7042499.559,2019.533,5.033
271,417645.879,7042502.312,2019.506,5.006
272,417643.562,7042503.349,2019.538,5.038
273,417643.546,7042500.905,2019.565,5.065
274,417643.554,7042498.172,2019.597,5.097
275,417643.699,7042495.69,2019.71,5.21
276,417643.52,7042493.077,2019.684,5.184
277,417643.727,7042490.357,2019.813,5.313
278,417643.519,7042487.971,2019.985,5.485
279,417643.823,7042485.233,2019.691,5.191
280,417643.648,7042482.792,2019.644,5.144
281,417643.528,7042479.972,2019.524,5.024
282,417643.705,7042477.342,2019.812,5.312
283,417643.973,7042474.613,2020.252,5.752
284,417643.782,7042472.173,2020.15,5.65
285,417641.54,7042470.935,2020.372,5.872
286,417641.456,7042473.59,2020.31,5.81
287,417641.409,7042476.161,2020.128,5.628
288,417641.351,7042478.816,2019.715,5.215
289,417641.324,7042481.332,2019.558,5.058
290,417641.522,7042483.935,2019.892,5.392
291,417641.333,7042486.716,2019.746,5.246
292,417641.28,7042489.233,2019.79,5.29
293,417641.42,7042491.836,2019.772,5.272
294,417641.497,7042494.27,2019.644,5.144
295,417641.546,7042496.982,2019.657,5.157
296,417641.384,7042499.431,2019.598,5.098
297,417641.382,7042501.968,2019.595,5.095
298,417639.263,7042500.79,2019.604,5.104
299,417639.181,7042498.432,2019.592,5.092
300,417639.284,7042495.786,2019.734,5.234
301,417639.349,7042493,2019.712,5.212
302,417639.205,7042490.414,2019.748,5.248
303,417639.163,7042487.785,2019.94,5.44
304,417639.19,7042485.129,2020.001,5.501
305,417639.342,7042482.494,2019.87,5.37
306,417639.22,7042479.851,2020.019,5.519
307,417639.141,7042477.425,2020.447,5.947
308,417639.211,7042474.883,2020.304,5.804
309,417639.478,7042472.229,2020.398,5.898
310,417640.37,7042469.628,2020.297,5.797
315,417637.229,7042478.801,2020.201,5.701
316,417637.12,7042481.448,2020.291,5.791
317,417637.024,7042484.062,2020.039,5.539
318,417636.99,7042486.418,2020.032,5.532
319,417637.182,7042489.155,2020.018,5.518
320,417636.921,7042491.775,2019.824,5.324
321,417637,7042494.327,2019.823,5.323
322,417637.069,7042497.107,2019.69,5.19
323,417636.931,7042499.56,2019.623,5.123
324,417636.995,7042502.017,2019.587,5.087
325,417634.74,7042500.841,2019.552,5.052
326,417634.836,7042498.171,2019.624,5.124
327,417634.881,7042495.497,2019.738,5.238
328,417634.751,7042492.94,2019.779,5.279
329,417634.868,7042490.578,2019.898,5.398
330,417634.953,7042487.681,2020.043,5.543
331,417634.88,7042485.327,2020.091,5.591
332,417634.961,7042482.838,2020.173,5.673
341,417633.062,7042486.516,2020.165,5.665
342,417632.56,7042489.08,2020,5.5
343,417632.654,7042491.706,2019.746,5.246
344,417632.642,7042494.567,2019.681,5.181
345,417632.517,7042496.94,2019.67,5.17
346,417632.659,7042499.521,2019.632,5.132
347,417632.574,7042502.159,2019.532,5.032
348,417630.316,7042500.934,2019.662,5.162
349,417630.271,7042498.283,2019.704,5.204
350,417630.452,7042495.679,2019.722,5.222
351,417630.637,7042493.183,2019.629,5.129
352,417631.296,7042490.709,2019.831,5.331
353,417629.088,7042493.664,2019.585,5.085
354,417628.234,7042496.809,2019.68,5.18
355,417628.317,7042499.625,2019.91,5.41
356,417625.952,7042500.634,2019.855,5.355
357,417626.021,7042498.116,2019.834,5.334
